Device Category,Year,Browser,Operating System,Page Views,Sessions
desktop,2015,Chrome,Chrome OS,16,10
desktop,2015,Chrome,Linux,118,69
desktop,2015,Chrome,Macintosh,170,147
desktop,2015,Chrome,Windows,16620,7900
desktop,2015,Edge,Windows,43,36
desktop,2015,Firefox,Linux,163,131
desktop,2015,Firefox,Macintosh,20,16
desktop,2015,Firefox,Windows,3312,1919
desktop,2015,Internet Explorer,Windows,690,497
desktop,2015,Maxthon,Windows,33,16
desktop,2015,Mozilla Compatible Agent,Windows,7,3
desktop,2015,Nokia Browser,(not set),101,95
desktop,2015,Opera,Linux,625,294
desktop,2015,Opera,Windows,422,235
desktop,2015,Safari,Linux,43,29
desktop,2015,Safari,Macintosh,92,75
desktop,2015,Safari,Windows,7,7
desktop,2015,UC Browser,(not set),1167,961
desktop,2015,UC Browser,Linux,46,43
desktop,2015,UC Browser,Windows,56,23
desktop,2015,Videocon-A45,(not set),3,3
desktop,2015,YaBrowser,Windows,3,3
mobile,2015,Android Browser,Android,886,674
mobile,2015,BlackBerry,BlackBerry,36,33
mobile,2015,BrowserNG,SymbianOS,3,3
mobile,2015,Chrome,Android,5084,4192
mobile,2015,Chrome,iOS,20,20
mobile,2015,Dolfin,Bada,7,7
mobile,2015,Edge,Windows,7,7
mobile,2015,Firefox,Android,52,36
mobile,2015,Internet Explorer,Windows,16,13
mobile,2015,Internet Explorer,Windows Phone,85,72
mobile,2015,Netscape,Android,3,3
mobile,2015,Nokia Browser,Android,26,26
mobile,2015,Nokia Browser,SymbianOS,10,10
mobile,2015,Opera,Android,98,72
mobile,2015,Opera Mini,(not set),540,451
mobile,2015,Opera Mini,Android,1929,1252
mobile,2015,Opera Mini,iOS,3,3
mobile,2015,Opera Mini,Samsung,108,92
mobile,2015,Opera Mini,Windows Phone,23,13
mobile,2015,Safari,iOS,389,369
mobile,2015,Safari,Nokia,13,10
mobile,2015,Safari,SymbianOS,3,3
mobile,2015,Safari,Windows Phone,190,170
mobile,2015,Safari (in-app),iOS,13,7
mobile,2015,UC Browser,Android,232,150
mobile,2015,UC Browser,iOS,7,7
mobile,2015,UC Browser,Nokia,137,95
mobile,2015,UC Browser,SymbianOS,33,26
mobile,2015,UC Browser,Windows Phone,20,16
tablet,2015,Amazon Silk,Android,16,3
tablet,2015,Android Browser,Android,114,95
tablet,2015,Chrome,Android,562,304
tablet,2015,Chrome,iOS,75,65
tablet,2015,Firefox,Android,36,26
tablet,2015,Internet Explorer,Windows,10,10
tablet,2015,Opera Mini,iOS,3,3
tablet,2015,Safari,iOS,268,203
tablet,2015,Safari (in-app),iOS,3,3
tablet,2015,UC Browser,Android,65,33
desktop,2016,Chrome,Chrome OS,56,49
desktop,2016,Chrome,FreeBSD,3,3
desktop,2016,Chrome,Linux,847,654
desktop,2016,Chrome,Macintosh,1520,1292
desktop,2016,Chrome,Windows,120538,70420
desktop,2016,Coc Coc,Windows,7,7
desktop,2016,CoolNovo,Windows,29,7
desktop,2016,Edge,Windows,1406,968
desktop,2016,Firefox,Linux,1099,929
desktop,2016,Firefox,Macintosh,128,121
desktop,2016,Firefox,Windows,20501,12667
desktop,2016,Internet Explorer,Windows,3983,2822
desktop,2016,Maxthon,Windows,137,101
desktop,2016,Nokia Browser,(not set),1053,880
desktop,2016,Opera,(not set),7,7
desktop,2016,Opera,Linux,10143,5676
desktop,2016,Opera,Macintosh,13,10
desktop,2016,Opera,Windows,1458,1059
desktop,2016,PlayFreeBrowser,Windows,3,3
desktop,2016,Safari,Linux,464,334
desktop,2016,Safari,Macintosh,1177,1040
desktop,2016,Safari,Windows,16,13
desktop,2016,SeaMonkey,Windows,3,3
desktop,2016,UC Browser,(not set),11565,8691
desktop,2016,UC Browser,Linux,759,579
desktop,2016,UC Browser,Macintosh,3,3
desktop,2016,UC Browser,Windows,59,29
desktop,2016,YaBrowser,Windows,7,7
mobile,2016,Amazon Silk,Android,3,3
mobile,2016,Android Browser,Android,6598,5173
mobile,2016,Android Webview,Android,831,549
mobile,2016,BlackBerry,BlackBerry,520,340
mobile,2016,BrowserNG,SymbianOS,3,3
mobile,2016,Chrome,Android,101492,81445
mobile,2016,Chrome,iOS,958,863
mobile,2016,Dolfin,Bada,36,16
mobile,2016,Edge,Windows,428,262
mobile,2016,Firefox,Android,1298,987
mobile,2016,HS-U971,Android,3,3
mobile,2016,Internet Explorer,Windows,222,173
mobile,2016,Internet Explorer,Windows Phone,971,814
mobile,2016,Maxthon,Android,7,7
mobile,2016,MWP,Windows Phone,3,3
mobile,2016,NetFront,Samsung,23,10
mobile,2016,Netscape,Android,10,10
mobile,2016,Nokia Browser,Android,141,92
mobile,2016,Nokia Browser,SymbianOS,39,39
mobile,2016,Nokia202,Nokia,3,3
mobile,2016,Nokia7230,Nokia,3,3
mobile,2016,Opera,Android,1491,1259
mobile,2016,Opera Mini,(not set),5375,3835
mobile,2016,Opera Mini,Android,19792,15050
mobile,2016,Opera Mini,BlackBerry,10,10
mobile,2016,Opera Mini,iOS,29,26
