Day of Week Name,Year,Hour,Page Views,Sessions
Tuesday,2018,20,7893,6176
Wednesday,2018,11,7847,6193
Monday,2018,19,7818,6271
Tuesday,2018,12,7733,6078
Sunday,2018,19,7723,6036
Monday,2018,20,7710,6075
Thursday,2018,11,7710,6190
Wednesday,2018,19,7707,5876
Thursday,2018,20,7681,5997
Thursday,2018,12,7658,6020
Thursday,2017,20,7615,5951
Wednesday,2018,12,7586,5899
Tuesday,2018,11,7573,5984
Monday,2018,11,7556,6069
Friday,2018,11,7546,6016
Wednesday,2018,20,7517,5938
Wednesday,2017,20,7488,5990
Tuesday,2018,19,7419,5931
Saturday,2018,11,7373,5781
Monday,2017,19,7308,5863
Thursday,2018,19,7285,5800
Monday,2018,12,7210,5876
Friday,2018,12,7206,5817
Monday,2018,21,7187,5745
Tuesday,2017,19,7161,5755
Thursday,2017,11,7105,5794
Tuesday,2017,21,7092,5797
Sunday,2018,20,7079,5742
Tuesday,2018,16,7072,5212
Thursday,2017,19,7063,5715
Tuesday,2017,20,7059,5885
Wednesday,2018,18,7027,5460
Saturday,2018,12,6997,5555
Monday,2017,20,6945,5650
Tuesday,2018,21,6893,5523
Monday,2017,11,6850,5516
Wednesday,2017,19,6850,5549
Sunday,2018,18,6837,5581
Wednesday,2017,11,6834,5523
Tuesday,2017,11,6827,5693
Friday,2018,19,6814,5444
Sunday,2018,12,6808,5339
Wednesday,2018,10,6794,5594
Monday,2017,21,6775,5702
Thursday,2018,21,6775,5277
Wednesday,2018,21,6775,5356
Friday,2018,20,6768,5300
Thursday,2017,12,6749,5349
Thursday,2018,10,6745,5411
Sunday,2017,19,6729,5630
Tuesday,2018,10,6726,5457
Wednesday,2017,12,6723,5323
Friday,2018,10,6716,5317
Tuesday,2018,18,6696,5326
Thursday,2017,21,6673,5235
Thursday,2018,13,6638,5143
Monday,2018,10,6588,5359
Tuesday,2017,12,6566,5424
Thursday,2018,18,6559,5238
Wednesday,2017,18,6556,5277
Monday,2018,15,6552,5182
Friday,2017,11,6543,5405
Sunday,2017,20,6526,5372
Wednesday,2017,17,6526,5120
Friday,2017,12,6523,5150
Tuesday,2017,18,6494,5313
Saturday,2018,10,6481,5133
Sunday,2018,21,6467,5117
Monday,2018,17,6458,5196
Monday,2018,18,6454,5042
Wednesday,2018,15,6454,5107
Sunday,2018,11,6435,5147
Wednesday,2017,21,6422,5349
Tuesday,2018,17,6405,5042
Wednesday,2017,16,6405,5019
Saturday,2017,12,6402,5225
Monday,2017,12,6386,5097
Sunday,2017,12,6363,5160
Friday,2017,19,6356,5205
Tuesday,2018,22,6350,4859
Wednesday,2018,17,6350,4950
Monday,2018,22,6337,4911
Monday,2018,16,6261,5071
Tuesday,2018,15,6245,5120
Tuesday,2017,17,6239,5091
Tuesday,2018,13,6219,4947
Tuesday,2018,14,6206,4927
Thursday,2018,15,6199,4950
Thursday,2018,16,6199,5022
Wednesday,2018,16,6176,4957
Tuesday,2017,22,6170,4950
Saturday,2017,11,6154,4901
Wednesday,2017,15,6154,5016
Wednesday,2018,22,6141,4748
Monday,2017,18,6127,4996
Thursday,2018,17,6124,4905
Friday,2018,14,6101,4852
Monday,2017,16,6095,4875
Sunday,2018,16,6095,4842
Friday,2017,20,6085,4901
Sunday,2018,17,6082,4954
Tuesday,2017,15,6078,4931
Monday,2017,17,6072,4676
Saturday,2018,13,6055,4780
Thursday,2018,14,6039,4744
Sunday,2017,18,6020,5130
Sunday,2017,21,6020,4927
Wednesday,2017,10,6006,5078
Tuesday,2017,10,6003,4888
Wednesday,2018,14,6003,4898
Monday,2017,22,5993,4937
Friday,2018,21,5967,4659
Thursday,2017,10,5964,4941
Wednesday,2018,13,5964,4908
Friday,2018,13,5954,4826
Thursday,2017,15,5951,4744
Thursday,2018,22,5935,4682
Sunday,2018,15,5908,4810
Thursday,2017,22,5892,4810
Sunday,2018,13,5889,4712
Monday,2018,13,5882,4826
Tuesday,2016,11,5853,2452
Monday,2017,10,5850,4784
Friday,2018,18,5830,4702
Sunday,2018,22,5827,4640
Saturday,2018,17,5820,4473
Saturday,2018,19,5814,4748
Thursday,2017,16,5807,4705
Saturday,2018,20,5784,4646
Monday,2017,15,5778,4640
Thursday,2017,18,5774,4803
Sunday,2017,13,5768,4614
Sunday,2017,11,5725,4735
Saturday,2018,15,5712,4502
Thursday,2017,17,5709,4692
Wednesday,2017,22,5706,4692
Tuesday,2017,16,5702,4650
Friday,2018,16,5696,4519
Friday,2017,16,5683,4506
Monday,2018,14,5663,4515
Friday,2018,22,5644,4506
Friday,2018,15,5640,4529
Saturday,2018,16,5637,4538
Friday,2018,17,5630,4483
Friday,2017,15,5621,4725
Sunday,2017,14,5614,4620
Tuesday,2017,14,5608,4630
Sunday,2017,17,5604,4790
Sunday,2017,15,5598,4699
Friday,2017,10,5588,4653
Sunday,2018,10,5581,4398
Friday,2017,18,5575,4542
Wednesday,2017,14,5572,4620
Tuesday,2017,13,5555,4486
Friday,2017,21,5536,4525
Friday,2017,14,5526,4473
Saturday,2017,19,5509,4610
Wednesday,2017,13,5503,4479
Saturday,2017,20,5493,4408
Saturday,2018,18,5480,4274
Thursday,2017,14,5480,4594
Thursday,2018,09,5467,4202
Saturday,2017,13,5349,4427
Saturday,2018,14,5336,4277
Thursday,2017,13,5297,4440
Saturday,2018,09,5274,4290
Sunday,2017,22,5228,4515
Saturday,2017,16,5218,4139
Sunday,2018,14,5218,4211
Tuesday,2018,09,5182,4143
Friday,2017,13,5176,4260
Saturday,2017,14,5173,4215
Saturday,2018,21,5166,4123
Monday,2017,13,5153,4309
Sunday,2017,16,5137,4352
Monday,2017,14,5120,4287
Friday,2017,17,5075,4378
Saturday,2017,10,5052,4192
Saturday,2017,15,5045,4159
Friday,2018,09,5039,3986
Friday,2017,22,5009,4198
Saturday,2017,21,5003,4136
Wednesday,2018,23,4980,3973
Saturday,2017,18,4960,4071
Wednesday,2018,09,4944,4035
Thursday,2016,19,4862,2766
Tuesday,2017,23,4793,3701
Saturday,2018,22,4790,3760
Thursday,2018,23,4754,3691
Saturday,2017,17,4715,3940
Monday,2018,09,4699,3777
Sunday,2017,10,4600,3917
Thursday,2017,09,4597,3606
Monday,2017,09,4532,3551
Saturday,2017,22,4519,3741
Tuesday,2016,19,4506,2966
Sunday,2018,23,4489,3554
Wednesday,2017,23,4463,3633
Monday,2016,11,4437,2286
Saturday,2018,23,4437,3306
Friday,2017,09,4430,3780
Tuesday,2018,23,4421,3525
Monday,2017,23,4388,3587
Wednesday,2017,09,4355,3606
Monday,2016,12,4326,2420
Tuesday,2017,09,4313,3688
Monday,2018,23,4290,3525
Sunday,2017,23,4283,3502
Saturday,2018,08,4274,3502
Friday,2016,18,4251,2233
Thursday,2017,23,4238,3544
Thursday,2016,15,4218,2099
Sunday,2018,09,4198,3348
Saturday,2017,09,4153,3446
