Region,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration
Delhi,202764,199033,241644,80.63%,1.28,70.52
Maharashtra,131014,129752,153163,79.06%,1.24,70.94
Karnataka,109882,107325,127832,78.89%,1.38,75.65
Uttar Pradesh,106380,105464,125756,79.10%,1.23,72.04
Telangana,93030,92265,110840,76.58%,1.38,88.25
Tamil Nadu,88540,86932,101822,80.09%,1.26,74.18
West Bengal,88083,87520,105576,77.77%,1.25,76.55
Madhya Pradesh,51773,51141,60496,77.68%,1.25,75.74
Bihar,49562,49176,58332,77.02%,1.24,73.18
Kerala,39511,39109,46688,80.29%,1.29,74.18
Chandigarh,38955,38282,45877,78.89%,1.26,72.76
Rajasthan,36846,36644,43343,80.03%,1.22,71.51
Gujarat,35777,35051,41280,79.18%,1.24,72.07
Assam,33743,33338,41591,78.49%,1.27,78.98
Odisha,28800,28263,34626,78.60%,1.27,78.74
Haryana,23973,23529,27596,80.96%,1.25,67.64
Andhra Pradesh,19121,18817,21865,78.25%,1.32,76.19
Jammu and Kashmir,16214,16139,19533,76.15%,1.25,78.68
Punjab,12843,12458,15639,79.43%,1.27,72.57
Himachal Pradesh,11784,11709,13680,80.72%,1.25,71.83
Uttarakhand,7321,7020,8449,81.81%,1.23,61.53
Jharkhand,3273,3136,3629,81.45%,1.18,69.78
Manipur,3227,3103,3760,83.30%,1.26,70.45
Chhattisgarh,2684,2645,3132,80.08%,1.22,70.23
Meghalaya,1762,1668,2047,81.78%,1.3,89.89
Goa,1707,1677,1945,82.21%,1.18,51.78
Puducherry,1619,1586,1844,79.61%,1.34,89.73
Mizoram,1095,1079,1331,82.04%,1.23,71.14
Tripura,592,582,660,82.27%,1.28,57.53
(not set),386,376,497,69.82%,1.84,88.14
Nagaland,379,373,445,81.57%,1.13,67.11
Sikkim,255,252,281,87.19%,1.33,66.29
Andaman and Nicobar Islands,49,49,92,81.52%,1.21,96.17
Dadra and Nagar Haveli,46,46,49,100.00%,1,0
Arunachal Pradesh,3,3,3,0.00%,1,77.33
,,,,,,
